Category,Truth,Predicted,ID
GCat,Direct,Leading,01.1.1_A
GCat,Direct,Leading,01.1.2_A
GCat,Direct,Leading,01.1.3_A
GCat,Direct,Leading,01.1.2_B
GCat,Direct,Leading,01.2.1_A
GCat,Direct,Leading,01.2.4_A
GCat,Direct,Leading,01.2.5_A
GCat,Direct,Leading,01.2.1_B
GCat,Direct,Leading,01.2.2_B
GCat,Direct,Leading,01.2.4_B
GCat,Direct,Leading,01.2.5_B
GCat,Direct,Leading,01.2.1_C
GCat,Direct,Leading,01.2.3_C
GCat,Direct,Leading,02.3.2_B
GCat,Direct,Leading,02.3.2_C
GCat,Direct,Leading,02.3.3_C
GCat,Direct,Leading,03.2.1_A
GCat,Direct,Leading,03.2.3_A
GCat,Direct,Leading,03.2.1_B
GCat,Direct,Leading,03.2.2_B
GCat,Direct,Leading,03.2.3_B
GCat,Direct,Leading,03.2.4_B
GCat,Direct,Leading,03.2.2_C
GCat,Direct,Leading,03.2.4_C
GCat,Leading,Direct,07.1.1_C
GCat,Leading,Direct,07.3.1_C
GCat,Leading,Direct,07.4.2_A
GCat,Leading,Direct,07.4.1_C
GCat,Leading,Direct,07.4.4_C
GCat,Leading,Direct,08.1.1_C
GCat,Leading,Direct,08.2.1_C
GCat,Leading,Direct,11.2.1_C
GCat,Leading,Direct,11.4.3_B
GCat,Prompt,Leading,14.1.1_A
GCat,Prompt,Leading,14.1.5_A
GCat,Prompt,Leading,14.1.1_B
GCat,Prompt,Leading,14.1.2_B
GCat,Prompt,Leading,14.1.3_B
GCat,Prompt,Leading,14.1.4_B
GCat,Prompt,Leading,14.1.1_C
GCat,Prompt,Leading,14.1.3_C
GCat,Prompt,Leading,14.1.4_C
GCat,Prompt,Direct,14.2.1_A
GCat,Prompt,Direct,14.2.2_A
GCat,Prompt,Leading,14.2.1_B
GCat,Prompt,Leading,14.2.3_B
GCat,Prompt,Leading,14.2.1_C
GCat,Prompt,Leading,14.2.4_C
GCat,Prompt,Leading,14.3.1_A
GCat,Prompt,Leading,14.3.2_A
GCat,Prompt,Leading,14.3.4_A
GCat,Prompt,Leading,14.3.5_A
GCat,Prompt,Leading,14.3.1_B
GCat,Prompt,Leading,14.3.2_B
GCat,Prompt,Leading,14.3.3_B
GCat,Prompt,Leading,14.3.4_B
GCat,Prompt,Leading,14.3.5_B
GCat,Prompt,Leading,14.3.2_C
GCat,Prompt,Leading,14.3.3_C
GCat,Prompt,Leading,14.4.2_A
GCat,Prompt,Leading,14.4.3_A
GCat,Prompt,Leading,14.4.2_B
GCat,Prompt,Leading,14.4.5_B
GCat,Prompt,Direct,14.4.2_C
GCat,Prompt,Leading,14.4.4_C
GCat,(empty),Leading,16.3_B
GCat,(empty),Leading,17.2_A
GCat,(empty),Leading,17.5_A
GCat,(empty),Leading,17.4_B
GCat,(empty),Leading,18.1_B
GCat,(empty),Leading,18.2_B
GCat,(empty),Leading,18.4_B
GCat,(empty),Leading,19.1_A
GCat,(empty),Leading,19.2_A
GCat,(empty),Leading,19.1_B
GCat,(empty),Leading,19.4_B
SCat,Polite,Verify,01.1.1_A
SCat,Polite,Verify,01.1.2_A
SCat,Polite,Verify,01.1.3_A
SCat,Polite,Verify,01.1.2_B
SCat,Polite,Verify,01.2.1_A
SCat,Polite,Verify,01.2.4_A
SCat,Polite,Verify,01.2.5_A
SCat,Polite,Verify,01.2.1_B
SCat,Polite,Verify,01.2.2_B
SCat,Polite,Verify,01.2.4_B
SCat,Polite,Verify,01.2.5_B
SCat,Polite,Verify,01.2.1_C
SCat,Polite,Verify,01.2.3_C
SCat,Demanding,Verify,02.3.2_B
SCat,Demanding,Verify,02.3.2_C
SCat,Demanding,Unwilling,02.3.3_C
SCat,Begging,Polite,03.1.1_A
SCat,Begging,Polite,03.1.2_A
SCat,Begging,Polite,03.1.2_B
SCat,Begging,Polite,03.1.1_C
SCat,Begging,Emotion,03.2.1_A
SCat,Begging,Emotion,03.2.3_A
SCat,Begging,Emotion,03.2.1_B
SCat,Begging,Emotion,03.2.2_B
SCat,Begging,Emotion,03.2.3_B
SCat,Begging,Verify,03.2.4_B
SCat,Begging,Verify,03.2.2_C
SCat,Begging,Emotion,03.2.4_C
SCat,Begging,Polite,03.3.4_A
SCat,Begging,Polite,03.3.5_A
SCat,Begging,Polite,03.3.5_C
SCat,Begging,Polite,03.4.4_A
SCat,Begging,Polite,03.4.5_C
SCat,Example,Verify,06.2.1_A
SCat,Unwilling,Unable,07.1.1_A
SCat,Unwilling,Unable,07.1.2_A
SCat,Unwilling,Unable,07.1.3_B
SCat,Unwilling,Unable,07.1.4_B
SCat,Unwilling,Unable,07.1.5_B
SCat,Unwilling,Polite,07.1.1_C
SCat,Unwilling,Unable,07.1.4_C
SCat,Unwilling,Unable,07.1.5_C
SCat,Unwilling,Unable,07.2.3_C
SCat,Unwilling,Verify,07.2.5_C
SCat,Unwilling,Unable,07.3.4_A
SCat,Unwilling,Polite,07.3.1_C
SCat,Unwilling,Polite,07.4.2_A
SCat,Unwilling,Unable,07.4.3_A
SCat,Unwilling,Unable,07.4.5_B
SCat,Unwilling,Polite,07.4.1_C
SCat,Unwilling,Polite,07.4.4_C
SCat,Unwilling,Unable,07.4.5_C
SCat,Unable,Urgency,08.1.3_B
SCat,Unable,Urgency,08.1.4_B
SCat,Unable,Polite,08.1.1_C
SCat,Unable,Polite,08.2.1_C
SCat,Unable,Urgency,08.4.5_B
SCat,Unable,Urgency,08.4.5_C
SCat,Teacher,Verify,09.2.3_C
SCat,Emotion,Unable,11.1.5_A
SCat,Emotion,Unable,11.2.3_B
SCat,Emotion,Begging,11.2.1_C
SCat,Emotion,Unable,11.2.3_C
SCat,Emotion,Unable,11.3.5_B
SCat,Emotion,Begging,11.4.3_B
SCat,Switch,Emotion,14.1.1_A
SCat,Switch,Emotion,14.1.5_A
SCat,Switch,Emotion,14.1.1_B
SCat,Switch,Emotion,14.1.2_B
SCat,Switch,Emotion,14.1.3_B
SCat,Switch,Emotion,14.1.4_B
SCat,Switch,Emotion,14.1.1_C
SCat,Switch,Emotion,14.1.3_C
SCat,Switch,Emotion,14.1.4_C
SCat,Switch,Polite,14.2.1_A
SCat,Switch,Polite,14.2.2_A
SCat,Switch,Emotion,14.2.1_B
SCat,Switch,Emotion,14.2.3_B
SCat,Switch,Emotion,14.2.1_C
SCat,Switch,Emotion,14.2.4_C
SCat,Switch,Emotion,14.3.1_A
SCat,Switch,Emotion,14.3.2_A
SCat,Switch,Emotion,14.3.4_A
SCat,Switch,Emotion,14.3.5_A
SCat,Switch,Emotion,14.3.1_B
SCat,Switch,Emotion,14.3.2_B
SCat,Switch,Emotion,14.3.3_B
SCat,Switch,Emotion,14.3.4_B
SCat,Switch,Emotion,14.3.5_B
SCat,Switch,Emotion,14.3.2_C
SCat,Switch,Emotion,14.3.3_C
SCat,Switch,Emotion,14.4.2_A
SCat,Switch,Emotion,14.4.3_A
SCat,Switch,Emotion,14.4.2_B
SCat,Switch,Emotion,14.4.5_B
SCat,Switch,Begging,14.4.2_C
SCat,Switch,Emotion,14.4.4_C
SCat,(empty),Verify,16.3_B
SCat,(empty),Verify,17.2_A
SCat,(empty),Example,17.5_A
SCat,(empty),Example,17.4_B
SCat,(empty),Verify,18.1_B
SCat,(empty),Verify,18.2_B
SCat,(empty),Verify,18.4_B
SCat,(empty),Verify,19.1_A
SCat,(empty),Unable,19.2_A
SCat,(empty),Unable,19.1_B
SCat,(empty),Verify,19.4_B
